Logging to logs\PPO_17
---------------------------------
| rollout/           |          |
|    approx_kl            | 0.071543425 |
|    clip_fraction        | 0.516       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.18       |
|    explained_variance   | -0.732      |
|    learning_rate        | 0.0001      |
|    loss                 | -0.124      |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0917     |
|    value_loss           | 0.000555    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.84e+03    |
|    ep_rew_mean          | 0.239       |
| time/                   |             |
|    fps                  | 344         |
|    iterations           | 11          |
|    time_elapsed         | 261         |
|    total_timesteps      | 90112       |
| train/                  |             |
|    approx_kl            | 0.085165806 |
|    clip_fraction        | 0.539       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.2        |
|    explained_variance   | -0.661      |
|    learning_rate        | 0.0001      |
|    loss                 | -0.144      |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.101      |
|    value_loss           | 0.000395    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.8e+03    |
|    ep_rew_mean          | 0.239      |
| time/                   |            |
|    fps                  | 344        |
|    iterations           | 12         |
|    time_elapsed         | 285        |
|    total_timesteps      | 98304      |
| train/                  |            |
|    approx_kl            | 0.08736507 |
|    clip_fraction        | 0.551      |
|    clip_range           | 0.2        |
|    entropy_loss         | -8.13      |
|    explained_variance   | -0.644     |
|    learning_rate        | 0.0001     |
|    loss                 | -0.132     |
|    n_updates            | 110        |
|    policy_gradient_loss | -0.0937    |
|    value_loss           | 0.0003     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.8e+03     |
|    ep_rew_mean          | 0.239       |
| time/                   |             |
|    fps                  | 344         |
|    iterations           | 13          |
|    time_elapsed         | 309         |
|    total_timesteps      | 106496      |
| train/                  |             |
|    approx_kl            | 0.092018105 |
|    clip_fraction        | 0.55        |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.11       |
|    explained_variance   | -0.0294     |
|    learning_rate        | 0.0001      |
|    loss                 | -0.121      |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0863     |
|    value_loss           | 0.000298    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.81e+03   |
|    ep_rew_mean          | 0.249      |
| time/                   |            |
|    fps                  | 343        |
|    iterations           | 14         |
|    time_elapsed         | 334        |
|    total_timesteps      | 114688     |
| train/                  |            |
|    approx_kl            | 0.10196912 |
|    clip_fraction        | 0.573      |
|    clip_range           | 0.2        |
|    entropy_loss         | -8.11      |
|    explained_variance   | -0.256     |
|    learning_rate        | 0.0001     |
|    loss                 | -0.122     |
|    n_updates            | 130        |
|    policy_gradient_loss | -0.0903    |
|    value_loss           | 0.000182   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.81e+03   |
|    ep_rew_mean          | 0.244      |
| time/                   |            |
|    fps                  | 342        |
|    iterations           | 15         |
|    time_elapsed         | 358        |
|    total_timesteps      | 122880     |
| train/                  |            |
|    approx_kl            | 0.09918235 |
|    clip_fraction        | 0.558      |
|    clip_range           | 0.2        |
|    entropy_loss         | -8.08      |
|    explained_variance   | -0.101     |
|    learning_rate        | 0.0001     |
|    loss                 | -0.1       |
|    n_updates            | 140        |
|    policy_gradient_loss | -0.0817    |
|    value_loss           | 0.000221   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.81e+03   |
|    ep_rew_mean          | 0.243      |
| time/                   |            |
|    fps                  | 340        |
|    iterations           | 16         |
|    time_elapsed         | 384        |
|    total_timesteps      | 131072     |
| train/                  |            |
|    approx_kl            | 0.08725329 |
|    clip_fraction        | 0.545      |
|    clip_range           | 0.2        |
|    entropy_loss         | -8.12      |
|    explained_variance   | -0.134     |
|    learning_rate        | 0.0001     |
|    loss                 | -0.112     |
|    n_updates            | 150        |
|    policy_gradient_loss | -0.0817    |
|    value_loss           | 0.000147   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.81e+03   |
|    ep_rew_mean          | 0.248      |
| time/                   |            |
|    fps                  | 340        |
|    iterations           | 17         |
|    time_elapsed         | 408        |
|    total_timesteps      | 139264     |
| train/                  |            |
|    approx_kl            | 0.10089743 |
|    clip_fraction        | 0.557      |
|    clip_range           | 0.2        |
|    entropy_loss         | -8.11      |
|    explained_variance   | -0.111     |
|    learning_rate        | 0.0001     |
|    loss                 | -0.101     |
|    n_updates            | 160        |
|    policy_gradient_loss | -0.0817    |
|    value_loss           | 0.00017    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.84e+03   |
|    ep_rew_mean          | 0.246      |
| time/                   |            |
|    fps                  | 339        |
|    iterations           | 18         |
|    time_elapsed         | 434        |
|    total_timesteps      | 147456     |
| train/                  |            |
|    approx_kl            | 0.10161966 |
|    clip_fraction        | 0.559      |
|    clip_range           | 0.2        |
|    entropy_loss         | -8.1       |
|    explained_variance   | -0.0495    |
|    learning_rate        | 0.0001     |
|    loss                 | -0.0993    |
|    n_updates            | 170        |
|    policy_gradient_loss | -0.0802    |
|    value_loss           | 0.000216   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.82e+03   |
|    ep_rew_mean          | 0.247      |
| time/                   |            |
|    fps                  | 338        |
|    iterations           | 19         |
|    time_elapsed         | 459        |
|    total_timesteps      | 155648     |
| train/                  |            |
|    approx_kl            | 0.09544012 |
|    clip_fraction        | 0.551      |
|    clip_range           | 0.2        |
|    entropy_loss         | -8.14      |
|    explained_variance   | -0.116     |
|    learning_rate        | 0.0001     |
|    loss                 | -0.127     |
|    n_updates            | 180        |
|    policy_gradient_loss | -0.0831    |
|    value_loss           | 0.000143   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.84e+03   |
|    ep_rew_mean          | 0.252      |
| time/                   |            |
|    fps                  | 338        |
|    iterations           | 20         |
|    time_elapsed         | 484        |
|    total_timesteps      | 163840     |
| train/                  |            |
|    approx_kl            | 0.11530705 |
|    clip_fraction        | 0.591      |
|    clip_range           | 0.2        |
|    entropy_loss         | -8.09      |
|    explained_variance   | -0.0865    |
|    learning_rate        | 0.0001     |
|    loss                 | -0.0872    |
|    n_updates            | 190        |
|    policy_gradient_loss | -0.0827    |
|    value_loss           | 0.000195   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.84e+03    |
|    ep_rew_mean          | 0.247       |
| time/                   |             |
|    fps                  | 336         |
|    iterations           | 21          |
|    time_elapsed         | 510         |
|    total_timesteps      | 172032      |
| train/                  |             |
|    approx_kl            | 0.096661106 |
|    clip_fraction        | 0.568       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.08       |
|    explained_variance   | -0.0365     |
|    learning_rate        | 0.0001      |
|    loss                 | -0.0995     |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.081      |
|    value_loss           | 0.000167    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.8e+03    |
|    ep_rew_mean          | 0.24       |
| time/                   |            |
|    fps                  | 335        |
|    iterations           | 22         |
|    time_elapsed         | 536        |
|    total_timesteps      | 180224     |
| train/                  |            |
|    approx_kl            | 0.10808745 |
|    clip_fraction        | 0.569      |
|    clip_range           | 0.2        |
|    entropy_loss         | -8.11      |
|    explained_variance   | -0.0931    |
|    learning_rate        | 0.0001     |
|    loss                 | -0.115     |
|    n_updates            | 210        |
|    policy_gradient_loss | -0.0835    |
|    value_loss           | 0.000135   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.78e+03   |
|    ep_rew_mean          | 0.24       |
| time/                   |            |
|    fps                  | 334        |
|    iterations           | 23         |
|    time_elapsed         | 563        |
|    total_timesteps      | 188416     |
| train/                  |            |
|    approx_kl            | 0.10340094 |
|    clip_fraction        | 0.556      |
|    clip_range           | 0.2        |
|    entropy_loss         | -8.05      |
|    explained_variance   | -0.0686    |
|    learning_rate        | 0.0001     |
|    loss                 | -0.107     |
|    n_updates            | 220        |
|    policy_gradient_loss | -0.0712    |
|    value_loss           | 0.000276   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.79e+03    |
|    ep_rew_mean          | 0.25        |
| time/                   |             |
|    fps                  | 335         |
|    iterations           | 24          |
|    time_elapsed         | 586         |
|    total_timesteps      | 196608      |
| train/                  |             |
|    approx_kl            | 0.119622864 |
|    clip_fraction        | 0.583       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.02       |
|    explained_variance   | -0.201      |
|    learning_rate        | 0.0001      |
|    loss                 | -0.112      |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.086      |
|    value_loss           | 0.0002      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.81e+03    |
|    ep_rew_mean          | 0.239       |
| time/                   |             |
|    fps                  | 334         |
|    iterations           | 25          |
|    time_elapsed         | 612         |
|    total_timesteps      | 204800      |
| train/                  |             |
|    approx_kl            | 0.123282276 |
|    clip_fraction        | 0.606       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.03       |
|    explained_variance   | -0.221      |
|    learning_rate        | 0.0001      |
|    loss                 | -0.107      |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0869     |
|    value_loss           | 0.00018     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.78e+03    |
|    ep_rew_mean          | 0.233       |
| time/                   |             |
|    fps                  | 334         |
|    iterations           | 26          |
|    time_elapsed         | 636         |
|    total_timesteps      | 212992      |
| train/                  |             |
|    approx_kl            | 0.108209915 |
|    clip_fraction        | 0.584       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.06       |
|    explained_variance   | -0.176      |
|    learning_rate        | 0.0001      |
|    loss                 | -0.101      |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.0827     |
|    value_loss           | 0.000131    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.79e+03    |
|    ep_rew_mean          | 0.246       |
| time/                   |             |
|    fps                  | 334         |
|    iterations           | 27          |
|    time_elapsed         | 660         |
|    total_timesteps      | 221184      |
| train/                  |             |
|    approx_kl            | 0.107802525 |
|    clip_fraction        | 0.579       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.08       |
|    explained_variance   | -0.144      |
|    learning_rate        | 0.0001      |
|    loss                 | -0.097      |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.0757     |
|    value_loss           | 0.000193    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.76e+03    |
|    ep_rew_mean          | 0.227       |
| time/                   |             |
|    fps                  | 334         |
|    iterations           | 28          |
|    time_elapsed         | 685         |
|    total_timesteps      | 229376      |
| train/                  |             |
|    approx_kl            | 0.112481356 |
|    clip_fraction        | 0.582       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.08       |
|    explained_variance   | -0.0883     |
|    learning_rate        | 0.0001      |
|    loss                 | -0.111      |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.0858     |
|    value_loss           | 0.000197    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.74e+03   |
|    ep_rew_mean          | 0.215      |
| time/                   |            |
|    fps                  | 334        |
|    iterations           | 29         |
|    time_elapsed         | 710        |
|    total_timesteps      | 237568     |
| train/                  |            |
|    approx_kl            | 0.12023298 |
|    clip_fraction        | 0.6        |
|    clip_range           | 0.2        |
|    entropy_loss         | -8.03      |
|    explained_variance   | -0.139     |
|    learning_rate        | 0.0001     |
|    loss                 | -0.103     |
|    n_updates            | 280        |
|    policy_gradient_loss | -0.0833    |
|    value_loss           | 0.000218   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.77e+03   |
|    ep_rew_mean          | 0.221      |
| time/                   |            |
|    fps                  | 333        |
|    iterations           | 30         |
|    time_elapsed         | 737        |
|    total_timesteps      | 245760     |
| train/                  |            |
|    approx_kl            | 0.10121855 |
|    clip_fraction        | 0.565      |
|    clip_range           | 0.2        |
|    entropy_loss         | -8.09      |
|    explained_variance   | -0.128     |
|    learning_rate        | 0.0001     |
|    loss                 | -0.119     |
|    n_updates            | 290        |
|    policy_gradient_loss | -0.0819    |
|    value_loss           | 0.000151   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.75e+03   |
|    ep_rew_mean          | 0.22       |
| time/                   |            |
|    fps                  | 333        |
|    iterations           | 31         |
|    time_elapsed         | 761        |
|    total_timesteps      | 253952     |
| train/                  |            |
|    approx_kl            | 0.10692425 |
|    clip_fraction        | 0.573      |
|    clip_range           | 0.2        |
|    entropy_loss         | -8.06      |
|    explained_variance   | -0.179     |
|    learning_rate        | 0.0001     |
|    loss                 | -0.103     |
|    n_updates            | 300        |
|    policy_gradient_loss | -0.082     |
|    value_loss           | 0.000132   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.76e+03   |
|    ep_rew_mean          | 0.226      |
| time/                   |            |
|    fps                  | 333        |
|    iterations           | 32         |
|    time_elapsed         | 787        |
|    total_timesteps      | 262144     |
| train/                  |            |
|    approx_kl            | 0.10510109 |
|    clip_fraction        | 0.56       |
|    clip_range           | 0.2        |
|    entropy_loss         | -8.08      |
|    explained_variance   | -0.0864    |
|    learning_rate        | 0.0001     |
|    loss                 | -0.0936    |
|    n_updates            | 310        |
|    policy_gradient_loss | -0.0728    |
|    value_loss           | 0.000243   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.74e+03   |
|    ep_rew_mean          | 0.222      |
| time/                   |            |
|    fps                  | 333        |
|    iterations           | 33         |
|    time_elapsed         | 811        |
|    total_timesteps      | 270336     |
| train/                  |            |
|    approx_kl            | 0.11695571 |
|    clip_fraction        | 0.59       |
|    clip_range           | 0.2        |
|    entropy_loss         | -8.07      |
|    explained_variance   | -0.177     |
|    learning_rate        | 0.0001     |
|    loss                 | -0.122     |
|    n_updates            | 320        |
|    policy_gradient_loss | -0.092     |
|    value_loss           | 0.000161   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.76e+03    |
|    ep_rew_mean          | 0.22        |
| time/                   |             |
|    fps                  | 332         |
|    iterations           | 34          |
|    time_elapsed         | 836         |
|    total_timesteps      | 278528      |
| train/                  |             |
|    approx_kl            | 0.118134014 |
|    clip_fraction        | 0.576       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.04       |
|    explained_variance   | -0.0744     |
|    learning_rate        | 0.0001      |
|    loss                 | -0.106      |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.0807     |
|    value_loss           | 0.000187    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.75e+03   |
|    ep_rew_mean          | 0.214      |
| time/                   |            |
|    fps                  | 332        |
|    iterations           | 35         |
|    time_elapsed         | 863        |
|    total_timesteps      | 286720     |
| train/                  |            |
|    approx_kl            | 0.13625988 |
|    clip_fraction        | 0.617      |
|    clip_range           | 0.2        |
|    entropy_loss         | -8.02      |
|    explained_variance   | -0.128     |
|    learning_rate        | 0.0001     |
|    loss                 | -0.104     |
|    n_updates            | 340        |
|    policy_gradient_loss | -0.0893    |
|    value_loss           | 0.000161   |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 1.75e+03  |
|    ep_rew_mean          | 0.214     |
| time/                   |           |
|    fps                  | 332       |
|    iterations           | 36        |
|    time_elapsed         | 888       |
|    total_timesteps      | 294912    |
| train/                  |           |
|    approx_kl            | 0.1347452 |
|    clip_fraction        | 0.6       |
|    clip_range           | 0.2       |
|    entropy_loss         | -8.06     |
|    explained_variance   | -0.123    |
|    learning_rate        | 0.0001    |
|    loss                 | -0.105    |
|    n_updates            | 350       |
|    policy_gradient_loss | -0.0848   |
|    value_loss           | 0.000171  |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.74e+03   |
|    ep_rew_mean          | 0.207      |
| time/                   |            |
|    fps                  | 330        |
|    iterations           | 37         |
|    time_elapsed         | 916        |
|    total_timesteps      | 303104     |
| train/                  |            |
|    approx_kl            | 0.14947379 |
|    clip_fraction        | 0.637      |
|    clip_range           | 0.2        |
|    entropy_loss         | -8         |
|    explained_variance   | -0.195     |
|    learning_rate        | 0.0001     |
|    loss                 | -0.106     |
|    n_updates            | 360        |
|    policy_gradient_loss | -0.0916    |
|    value_loss           | 0.000148   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.74e+03   |
|    ep_rew_mean          | 0.203      |
| time/                   |            |
|    fps                  | 331        |
|    iterations           | 38         |
|    time_elapsed         | 940        |
|    total_timesteps      | 311296     |
| train/                  |            |
|    approx_kl            | 0.12558436 |
|    clip_fraction        | 0.597      |
|    clip_range           | 0.2        |
|    entropy_loss         | -8.01      |
|    explained_variance   | -0.0606    |
|    learning_rate        | 0.0001     |
|    loss                 | -0.0927    |
|    n_updates            | 370        |
|    policy_gradient_loss | -0.0787    |
|    value_loss           | 0.000179   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.7e+03    |
|    ep_rew_mean          | 0.195      |
| time/                   |            |
|    fps                  | 330        |
|    iterations           | 39         |
|    time_elapsed         | 965        |
|    total_timesteps      | 319488     |
| train/                  |            |
|    approx_kl            | 0.13759162 |
|    clip_fraction        | 0.622      |
|    clip_range           | 0.2        |
|    entropy_loss         | -7.99      |
|    explained_variance   | -0.16      |
|    learning_rate        | 0.0001     |
|    loss                 | -0.103     |
|    n_updates            | 380        |
|    policy_gradient_loss | -0.0907    |
|    value_loss           | 0.000148   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.69e+03   |
|    ep_rew_mean          | 0.186      |
| time/                   |            |
|    fps                  | 330        |
|    iterations           | 40         |
|    time_elapsed         | 991        |
|    total_timesteps      | 327680     |
| train/                  |            |
|    approx_kl            | 0.13663715 |
|    clip_fraction        | 0.605      |
|    clip_range           | 0.2        |
|    entropy_loss         | -7.97      |
|    explained_variance   | -0.0873    |
|    learning_rate        | 0.0001     |
|    loss                 | -0.102     |
|    n_updates            | 390        |
|    policy_gradient_loss | -0.0824    |
|    value_loss           | 0.000219   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.65e+03   |
|    ep_rew_mean          | 0.196      |
| time/                   |            |
|    fps                  | 330        |
|    iterations           | 41         |
|    time_elapsed         | 1015       |
|    total_timesteps      | 335872     |
| train/                  |            |
|    approx_kl            | 0.13338977 |
|    clip_fraction        | 0.615      |
|    clip_range           | 0.2        |
|    entropy_loss         | -7.93      |
|    explained_variance   | -0.19      |
|    learning_rate        | 0.0001     |
|    loss                 | -0.128     |
|    n_updates            | 400        |
|    policy_gradient_loss | -0.0921    |
|    value_loss           | 0.00013    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.66e+03   |
|    ep_rew_mean          | 0.206      |
| time/                   |            |
|    fps                  | 330        |
|    iterations           | 42         |
|    time_elapsed         | 1039       |
|    total_timesteps      | 344064     |
| train/                  |            |
|    approx_kl            | 0.12986794 |
|    clip_fraction        | 0.603      |
|    clip_range           | 0.2        |
|    entropy_loss         | -7.96      |
|    explained_variance   | -0.0432    |
|    learning_rate        | 0.0001     |
|    loss                 | -0.109     |
|    n_updates            | 410        |
|    policy_gradient_loss | -0.0777    |
|    value_loss           | 0.000359   |
----------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 1.67e+03 |
|    ep_rew_mean          | 0.213    |
| time/                   |          |
|    fps                  | 330      |
|    iterations           | 43       |
|    time_elapsed         | 1064     |
|    total_timesteps      | 352256   |
| train/                  |          |
|    approx_kl            | 0.146621 |
|    clip_fraction        | 0.625    |
|    clip_range           | 0.2      |
|    entropy_loss         | -7.96    |
|    explained_variance   | -0.208   |
|    learning_rate        | 0.0001   |
|    loss                 | -0.135   |
|    n_updates            | 420      |
|    policy_gradient_loss | -0.0951  |
|    value_loss           | 0.000224 |
--------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.67e+03   |
|    ep_rew_mean          | 0.218      |
| time/                   |            |
|    fps                  | 330        |
|    iterations           | 44         |
|    time_elapsed         | 1090       |
|    total_timesteps      | 360448     |
| train/                  |            |
|    approx_kl            | 0.14493753 |
|    clip_fraction        | 0.63       |
|    clip_range           | 0.2        |
|    entropy_loss         | -7.96      |
|    explained_variance   | -0.196     |
|    learning_rate        | 0.0001     |
|    loss                 | -0.117     |
|    n_updates            | 430        |
|    policy_gradient_loss | -0.0863    |
|    value_loss           | 0.000181   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.68e+03   |
|    ep_rew_mean          | 0.222      |
| time/                   |            |
|    fps                  | 330        |
|    iterations           | 45         |
|    time_elapsed         | 1115       |
|    total_timesteps      | 368640     |
| train/                  |            |
|    approx_kl            | 0.12921694 |
|    clip_fraction        | 0.61       |
|    clip_range           | 0.2        |
|    entropy_loss         | -7.96      |
|    explained_variance   | -0.0731    |
|    learning_rate        | 0.0001     |
|    loss                 | -0.114     |
|    n_updates            | 440        |
|    policy_gradient_loss | -0.0845    |
|    value_loss           | 0.000234   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.69e+03   |
|    ep_rew_mean          | 0.232      |
| time/                   |            |
|    fps                  | 330        |
|    iterations           | 46         |
|    time_elapsed         | 1139       |
|    total_timesteps      | 376832     |
| train/                  |            |
|    approx_kl            | 0.11812104 |
|    clip_fraction        | 0.591      |
|    clip_range           | 0.2        |
|    entropy_loss         | -8         |
|    explained_variance   | -0.13      |
|    learning_rate        | 0.0001     |
|    loss                 | -0.122     |
|    n_updates            | 450        |
|    policy_gradient_loss | -0.0878    |
|    value_loss           | 0.000181   |
----------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 1.7e+03  |
|    ep_rew_mean          | 0.234    |
| time/                   |          |
|    fps                  | 330      |
|    iterations           | 47       |
|    time_elapsed         | 1164     |
|    total_timesteps      | 385024   |
| train/                  |          |
|    approx_kl            | 0.158959 |
|    clip_fraction        | 0.64     |
|    clip_range           | 0.2      |
|    entropy_loss         | -7.95    |
